ID,Name,Spicy,Dry,Sweet,Bitter,Sour,Rarity,Description
001,Cheri Berry,10,0,2,0,0,Common,"Berry that slightly boosts Coolness"
002,Chesto Berry,0,10,0,2,0,Common,"Berry that slightly boosts Beauty"
003,Pecha Berry,2,0,10,0,0,Common,"Berry that slightly boosts Cuteness"
004,Rawst Berry,0,2,0,10,0,Common,"Berry that slightly boosts Cleverness"
005,Aspear Berry,0,0,2,0,10,Common,"Berry that slightly boosts Toughness"
006,Leppa Berry,10,0,0,2,0,Common,"Berry with balanced spicy and bitter notes"
007,Oran Berry,5,5,5,5,5,Common,"Well-rounded berry for all stats"
008,Persim Berry,0,10,0,0,2,Common,"Berry that enhances Dry and Sour qualities"
009,Lum Berry,15,15,15,15,15,Rare,"Balanced berry for all contest stats"
010,Sitrus Berry,10,10,10,10,10,Rare,"Berry that provides balanced stat boosts"
011,Figy Berry,20,0,0,0,0,Rare,"Berry that greatly boosts Coolness"
012,Wiki Berry,0,20,0,0,0,Rare,"Berry that greatly boosts Beauty"
013,Mago Berry,0,0,20,0,0,Rare,"Berry that greatly boosts Cuteness"
014,Aguav Berry,0,0,0,20,0,Rare,"Berry that greatly boosts Cleverness"
015,Iapapa Berry,0,0,0,0,20,Rare,"Berry that greatly boosts Toughness"
016,Razz Berry,10,0,0,0,0,Common,"Basic berry with spicy flavor"
017,Bluk Berry,0,10,0,0,0,Common,"Basic berry with dry flavor"
018,Nanab Berry,0,0,10,0,0,Common,"Basic berry with sweet flavor"
019,Wepear Berry,0,0,0,10,0,Common,"Basic berry with bitter flavor"
020,Pinap Berry,0,0,0,0,10,Common,"Basic berry with sour flavor"
021,Pomeg Berry,15,0,0,0,0,Common,"Berry that moderately boosts Coolness"
022,Kelpsy Berry,0,15,0,0,0,Common,"Berry that moderately boosts Beauty"
023,Qualot Berry,0,0,15,0,0,Common,"Berry that moderately boosts Cuteness"
024,Hondew Berry,0,0,0,15,0,Common,"Berry that moderately boosts Cleverness"
025,Grepa Berry,0,0,0,0,15,Common,"Berry that moderately boosts Toughness"
026,Tamato Berry,25,0,0,0,0,Rare,"Berry with strong Coolness boost"
027,Cornn Berry,0,25,0,0,0,Rare,"Berry with strong Beauty boost"
028,Magost Berry,0,0,25,0,0,Rare,"Berry with strong Cuteness boost"
029,Rabuta Berry,0,0,0,25,0,Rare,"Berry with strong Cleverness boost"
030,Nomel Berry,0,0,0,0,25,Rare,"Berry with strong Toughness boost"
031,Spelon Berry,30,0,0,0,0,Epic,"Berry with very strong Coolness boost"
032,Pamtre Berry,0,30,0,0,0,Epic,"Berry with very strong Beauty boost"
033,Watmel Berry,0,0,30,0,0,Epic,"Berry with very strong Cuteness boost"
034,Durin Berry,0,0,0,30,0,Epic,"Berry with very strong Cleverness boost"
035,Belue Berry,0,0,0,0,30,Epic,"Berry with very strong Toughness boost"
036,Occa Berry,40,0,0,0,0,Epic,"Dramatically boosts Coolness"
037,Passho Berry,0,40,0,0,0,Epic,"Dramatically boosts Beauty"
038,Wacan Berry,0,0,40,0,0,Epic,"Dramatically boosts Cuteness"
039,Rindo Berry,0,0,0,40,0,Epic,"Dramatically boosts Cleverness"
040,Yache Berry,0,0,0,0,40,Epic,"Dramatically boosts Toughness"
041,Chople Berry,20,20,0,0,0,Rare,"Dual-type berry for Cool and Beautiful"
042,Kebia Berry,0,0,20,20,0,Rare,"Dual-type berry for Cute and Clever"
043,Shuca Berry,0,0,0,20,20,Rare,"Dual-type berry for Clever and Tough"
044,Coba Berry,20,0,0,0,20,Rare,"Dual-type berry for Cool and Tough"
045,Payapa Berry,0,20,0,20,0,Rare,"Dual-type berry for Beautiful and Clever"
046,Tanga Berry,0,0,20,0,20,Rare,"Dual-type berry for Cute and Tough"
047,Charti Berry,20,0,20,0,0,Rare,"Dual-type berry for Cool and Cute"
048,Kasib Berry,0,20,0,0,20,Rare,"Dual-type berry for Beautiful and Tough"
049,Haban Berry,0,0,20,20,0,Rare,"Dual-type berry for Cute and Clever"
050,Colbur Berry,0,0,0,20,20,Rare,"Dual-type berry for Clever and Tough"
051,Babiri Berry,20,0,0,20,0,Rare,"Dual-type berry for Cool and Clever"
052,Chilan Berry,0,20,20,0,0,Rare,"Dual-type berry for Beautiful and Cute"
053,Liechi Berry,50,0,0,0,0,Legendary,"Maximizes Coolness in contests"
054,Ganlon Berry,0,50,0,0,0,Legendary,"Maximizes Beauty in contests"
055,Salac Berry,0,0,50,0,0,Legendary,"Maximizes Cuteness in contests"
056,Petaya Berry,0,0,0,50,0,Legendary,"Maximizes Cleverness in contests"
057,Apicot Berry,0,0,0,0,50,Legendary,"Maximizes Toughness in contests"
058,Lansat Berry,30,30,0,0,0,Epic,"Powerful berry for Cool and Beautiful"
059,Starf Berry,0,0,30,30,0,Epic,"Powerful berry for Cute and Clever"
060,Enigma Berry,0,0,0,30,30,Epic,"Powerful berry for Clever and Tough"
061,Micle Berry,30,0,30,0,0,Epic,"Powerful berry for Cool and Cute"
062,Custap Berry,0,30,0,30,0,Epic,"Powerful berry for Beautiful and Clever"
063,Jaboca Berry,0,0,30,0,30,Epic,"Powerful berry for Cute and Tough"
064,Rowap Berry,30,0,0,30,0,Epic,"Powerful berry for Cool and Clever"
065,Roseli Berry,0,30,30,0,0,Epic,"Powerful berry for Beautiful and Cute"
066,Kee Berry,0,0,0,30,30,Epic,"Powerful berry for Clever and Tough"
067,Maranga Berry,0,30,0,0,30,Epic,"Powerful berry for Beautiful and Tough"
068,Hopo Berry,0,0,30,30,0,Epic,"Powerful berry for Cute and Clever"
