Formato: ID,Nome,Tipo,Categoria (Físico/Especial/Status),Potência,Precisão,PP,Efeito secundário,Chance de efeito
1,10000000 Volt Thunderbolt,Electric,Especial,195,—,1,Pikachu-exclusive Z-Move. High critical hit ratio.,—
2,Absorb,Grass,Especial,20,100,25,User recovers half the HP inflicted on opponent.,—
3,Accelerock,Rock,Físico,40,100,20,User attacks first.,—
4,Acid,Poison,Especial,40,100,30,May lower opponent's Special Defense.,10
5,Acid Armor,Poison,Status,—,—,20,Sharply raises user's Defense.,—
6,Acid Downpour,Poison,Status,—,—,1,Poison type Z-Move.,—
7,Acid Spray,Poison,Especial,40,100,20,Sharply lowers opponent's Special Defense.,100
8,Acrobatics,Flying,Físico,55,100,15,Stronger when the user does not have a held item.,—
9,Acupressure,Normal,Status,—,—,30,Sharply raises a random stat.,—
10,Aerial Ace,Flying,Físico,60,∞,20,Ignores Accuracy and Evasiveness.,—
11,Aeroblast,Flying,Especial,100,95,5,High critical hit ratio.,—
12,After You,Normal,Status,—,—,15,Gives target priority in the next turn.,—
13,Agility,Psychic,Status,—,—,30,Sharply raises user's Speed.,—
14,Air Cutter,Flying,Especial,60,95,25,High critical hit ratio.,—
15,Air Slash,Flying,Especial,75,95,15,May cause flinching.,30
16,All-Out Pummeling,Fighting,Status,—,—,1,Fighting type Z-Move.,—
17,Alluring Voice,Fairy,Especial,80,100,10, ,—
18,Ally Switch,Psychic,Status,—,—,15,User switches with opposite teammate.,—
19,Amnesia,Psychic,Status,—,—,20,Sharply raises user's Special Defense.,—
20,Anchor Shot,Steel,Físico,80,100,20,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,—
21,Ancient Power,Rock,Especial,60,100,5,May raise all user's stats at once.,10
22,Apple Acid,Grass,Especial,80,100,10,Lowers target's Special Defense.,100
23,Aqua Cutter,Water,Físico,70,100,20,High critical hit ratio.,—
24,Aqua Jet,Water,Físico,40,100,20,User attacks first.,—
25,Aqua Ring,Water,Status,—,—,20,Restores a little HP each turn.,—
26,Aqua Step,Water,Físico,80,100,10,Raises user's Speed.,100
27,Aqua Tail,Water,Físico,90,90,10, ,—
28,Arm Thrust,Fighting,Físico,15,100,20,Hits 2-5 times in one turn.,—
29,Armor Cannon,Fire,Especial,120,100,5,Lowers user's Defense and Special Defense.,—
30,Aromatherapy,Grass,Status,—,—,5,Cures all status problems in your party.,—
31,Aromatic Mist,Fairy,Status,—,—,20,Raises Special Defense of an ally.,—
32,Assist,Normal,Status,—,—,20,User performs a move known by its allies at random.,—
33,Assurance,Dark,Físico,60,100,10,Power doubles if opponent already took damage in the same turn.,—
34,Astonish,Ghost,Físico,30,100,15,May cause flinching.,30
35,Astral Barrage,Ghost,Especial,120,100,5,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.,—
