ID,Name,Type1,Type2,HP,Attack,SpAttack,Defense,SpDefense,Speed,ContestBeauty,ContestCool,ContestCute,ContestSmart,ContestTough,Resistances,Weaknesses,Abilities,Category,Evolutions
001,Bulbasaur,Grass,Poison,45,49,65,49,65,45,60,50,70,65,50,Grass/Poison/Water/Electric/Fighting/Fairy,Fire/Ice/Flying/Psychic,Overgrow/Chlorophyll,Seed Pokémon,002/Ivysaur/16
002,Ivysaur,Grass,Poison,60,62,80,63,80,60,80,60,80,70,60,Grass/Poison/Water/Electric/Fighting/Fairy,Fire/Ice/Flying/Psychic,Overgrow/Chlorophyll,Seed Pokémon,003/Venusaur/32
003,Venusaur,Grass,Poison,80,82,100,83,100,80,100,80,90,80,70,Grass/Poison/Water/Electric/Fighting/Fairy,Fire/Ice/Flying/Psychic,Overgrow/Chlorophyll,Seed Pokémon,
004,Charmander,Fire,,39,52,60,43,50,65,50,70,40,60,50,Fire/Grass/Ice/Bug/Steel/Fairy,Water/Ground/Rock,Blaze/Solar Power,Lizard Pokémon,005/Charmeleon/16
005,Charmeleon,Fire,,58,64,80,58,65,80,70,80,50,70,60,Fire/Grass/Ice/Bug/Steel/Fairy,Water/Ground/Rock,Blaze/Solar Power,Flame Pokémon,006/Charizard/36
006,Charizard,Fire,Flying,78,84,109,78,85,100,90,100,60,80,70,Fire/Grass/Fighting/Bug/Steel/Fairy,Water/Electric/Rock,Blaze/Solar Power,Flame Pokémon,
007,Squirtle,Water,,44,48,50,65,64,43,40,50,80,50,60,Water/Steel/Fire/Ice,Electric/Grass,Torrent/Rain Dish,Tiny Turtle Pokémon,008/Wartortle/16
008,Wartortle,Water,,59,63,65,80,80,58,60,60,90,60,70,Water/Steel/Fire/Ice,Electric/Grass,Torrent/Rain Dish,Turtle Pokémon,009/Blastoise/36
009,Blastoise,Water,,79,83,85,100,105,78,80,80,100,80,80,Water/Steel/Fire/Ice,Electric/Grass,Torrent/Rain Dish,Shellfish Pokémon,
010,Caterpie,Bug,,45,30,20,35,20,45,30,20,50,20,30,Bug/Grass/Fighting/Ground,Fire/Flying/Rock,Shield Dust,Worm Pokémon,011/Metapod/7
011,Metapod,Bug,,50,20,25,55,25,30,20,10,40,20,20,Bug/Grass/Fighting/Ground,Fire/Flying/Rock,Shed Skin,Cocoon Pokémon,012/Butterfree/10
012,Butterfree,Bug,Flying,60,45,90,50,80,70,70,60,60,90,50,Bug/Grass/Fighting/Ground,Fire/Flying/Rock/Electric/Ice,Compound Eyes/Tinted Lens,Butterfly Pokémon,
